state,ArgentinaTTO,ArgentinaVAS,Australia,Belgium,Brazil,Canada,Chile,China,DenmarkTTO,DenmarkVAS,Europe,Finland,GermanyTTO,GermanyVAS,France,Italy,Japan,Korea,Malaysia,Netherlands,NewZealand,Poland,Portugal,Slovenia,Singapore,SpainTTO,SpainVAS,SriLanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,UKTTO,UKVAS,USA,Zimbabwe
12311,0.515,0.55,0.669,0.447,0.555,0.713,0.406,0.641,0.679,0.535,0.44,0.613,0.589,0.414,0.425,0.745,0.661,0.646,0.598,0.556,0.481,0.685,0.324,0.671,0.2271,0.356,0.426,0.31,0.3732,0.25,0.42,0.726,0.452,0.456,0.59,0.673
12312,0.58,0.544,0.573,0.344,0.505,0.65,0.306,0.555,0.611,0.444,0.351,0.453,0.589,0.339,0.335,0.693,0.598,0.603,0.517,0.432,0.389,0.659,0.287,0.578,0.077,0.294,0.375,0.266,0.318,0.096,0.388,0.715,0.381,0.393,0.563,0.627
12313,0.364,0.459,0.315,0.241,0.46,0.433,0.134,0.436,0.312,0.353,0.311,0.417,0.524,0.194,0.221,0.575,0.549,0.488,0.512,0.231,0.297,0.478,0.162,0.485,-0.0513,0.212,0.324,0.116,0.1655,-0.032,0.31,0.587,0.216,0.332,0.416,0.5
12321,0.532,0.511,0.602,0.363,0.491,0.668,0.296,0.549,0.617,0.457,0.347,0.502,0.477,0.404,0.313,0.69,0.581,0.609,0.544,0.47,0.401,0.628,0.214,0.56,0.0809,0.267,0.367,0.253,0.3387,0.129,0.348,0.662,0.329,0.372,0.546,0.606
12322,0.618,0.545,0.505,0.26,0.441,0.605,0.196,0.463,0.549,0.366,0.258,0.342,0.477,0.33,0.223,0.638,0.518,0.566,0.463,0.346,0.309,0.602,0.177,0.467,-0.0692,0.205,0.316,0.209,0.2835,-0.025,0.316,0.651,0.258,0.309,0.497,0.56
12323,0.381,0.42,0.247,0.157,0.396,0.388,0.024,0.344,0.25,0.275,0.218,0.306,0.412,0.189,0.109,0.52,0.469,0.451,0.458,0.145,0.217,0.421,0.052,0.374,-0.1975,0.123,0.264,0.059,0.131,-0.153,0.238,0.523,0.093,0.248,0.372,0.433
12331,0.291,0.418,0.245,0.279,0.387,0.415,0.089,0.405,0.283,0.379,0.276,0.46,0.274,0.193,0.16,0.454,0.467,0.495,0.471,0.227,0.321,0.196,0.091,0.449,-0.002,0.095,0.307,0.088,0.2828,-0.011,0.211,0.496,0.066,0.285,0.329,0.371
12332,0.356,0.413,0.149,0.176,0.337,0.352,-0.011,0.319,0.215,0.288,0.187,0.3,0.274,0.158,0.07,0.402,0.404,0.452,0.39,0.103,0.229,0.17,0.054,0.356,-0.1521,0.033,0.256,0.044,0.2276,-0.165,0.179,0.485,-0.005,0.222,0.302,0.325
12333,0.129,0.345,0.076,0.073,0.292,0.135,-0.129,0.2,-0.084,0.197,0.147,0.264,0.209,0.091,-0.044,0.284,0.355,0.337,0.385,-0.098,0.137,-0.011,-0.004,0.263,-0.2804,-0.049,0.205,-0.106,0.0751,-0.293,0.101,0.357,-0.17,0.161,0.184,0.198
13111,0.431,0.442,0.628,0.426,0.633,0.665,0.514,0.731,0.694,0.551,0.487,0.699,0.502,0.435,0.5,0.711,0.746,0.764,0.657,0.543,0.437,0.716,0.204,0.686,0.363,0.376,0.436,0.511,0.5087,0.349,0.417,0.735,0.436,0.485,0.529,0.669
13112,0.419,0.555,0.531,0.323,0.583,0.602,0.414,0.645,0.626,0.46,0.398,0.539,0.502,0.356,0.41,0.659,0.683,0.721,0.576,0.419,0.345,0.69,0.407,0.593,0.2129,0.314,0.384,0.467,0.4535,0.195,0.385,0.724,0.365,0.422,0.512,0.623
13113,0.28,0.351,0.336,0.22,0.538,0.385,0.242,0.526,0.327,0.369,0.358,0.503,0.437,0.204,0.296,0.541,0.634,0.606,0.571,0.218,0.253,0.509,0.042,0.5,0.0846,0.232,0.333,0.317,0.301,0.067,0.307,0.596,0.2,0.361,0.355,0.496
