_Y3_1,_Y3_2,_Y3_3,_Y3_4,_Y3_5,_age5grp,_male,_U3UK,_EUUKcopula
3,2,1,2,3,18-34,1,-.127,.2760400687286279
3,2,1,3,1,18-34,1,-.154,.2916097789402077
3,2,1,3,2,18-34,1,-.225,.1962504939045245
3,2,1,3,3,18-34,1,-.39,.034619199279014
3,2,2,1,1,18-34,1,.196,.6142681587828506
3,2,2,1,2,18-34,1,.1250000000000001,.4972307324333929
3,2,2,1,3,18-34,1,-.04,.273720488938822
3,2,2,2,1,18-34,1,.073,.5397473601211763
3,2,2,2,2,18-34,1,.002,.4294060393649454
3,2,2,2,3,18-34,1,-.163,.2110999307658289
3,2,2,3,1,18-34,1,-.19,.2385190272628399
3,2,2,3,2,18-34,1,-.261,.1393238050825514
3,2,2,3,3,18-34,1,-.4259999999999999,-.0148407443071538
3,2,3,1,1,18-34,1,.138,.3731833930652417
3,2,3,1,2,18-34,1,.067,.2825691541080712
3,2,3,1,3,18-34,1,-.0979999999999999,.1208537297366105
3,2,3,2,1,18-34,1,.015,.3184732393454603
3,2,3,2,2,18-34,1,-.056,.2218515470616475
3,2,3,2,3,18-34,1,-.221,.0772946834642416
3,2,3,3,1,18-34,1,-.248,.1342920305103184
3,2,3,3,2,18-34,1,-.319,.043571199830612
3,2,3,3,3,18-34,1,-.484,-.1095692295589027
3,3,1,1,1,18-34,1,.122,.4113372817134484
3,3,1,1,2,18-34,1,.051,.2946655690193293
3,3,1,1,3,18-34,1,-.114,.1097567419285317
3,3,1,2,1,18-34,1,-.001,.3764546811635331
3,3,1,2,2,18-34,1,-.072,.2789769928739783
3,3,1,2,3,18-34,1,-.237,.108616373158834
3,3,1,3,1,18-34,1,-.264,.1409659259987969
3,3,1,3,2,18-34,1,-.335,.0474627100381053
3,3,1,3,3,18-34,1,-.5,-.091534622444532
3,3,2,1,1,18-34,1,.086,.3787489149908806
3,3,2,1,2,18-34,1,.015,.2857130624264449
3,3,2,1,3,18-34,1,-.15,.117906528165484
3,3,2,2,1,18-34,1,-.037,.3234708641421729
3,3,2,2,2,18-34,1,-.108,.2247150462085267
3,3,2,2,3,18-34,1,-.273,.0735972003545251
3,3,2,3,1,18-34,1,-.3,.129337083528433
3,3,2,3,2,18-34,1,-.371,.0394819156369599
3,3,2,3,3,18-34,1,-.536,-.1147307898632352
3,3,3,1,1,18-34,1,.028,.2075325098358083
3,3,3,1,2,18-34,1,-.043,.1171563691213745
3,3,3,1,3,18-34,1,-.208,-.0275538673967071
3,3,3,2,1,18-34,1,-.095,.2067427154016899
3,3,3,2,2,18-34,1,-.166,.1189312631897714
3,3,3,2,3,18-34,1,-.331,-.0400253502432035
3,3,3,3,1,18-34,1,-.358,.0122012828763093
3,3,3,3,2,18-34,1,-.429,-.0859912322252292
3,3,3,3,3,18-34,1,-.594,-.2119648726555698
1,1,1,1,1,18-34,0,1,.9789758843391506
1,1,1,1,2,18-34,0,.8480000000000001,.8989845793497927
1,1,1,1,3,18-34,0,.414,.7196451404947261
1,1,1,2,1,18-34,0,.796,.9028936359706125
1,1,1,2,2,18-34,0,.7250000000000001,.8247602065925999
1,1,1,2,3,18-34,0,.291,.6477716538520209
1,1,1,3,1,18-34,0,.264,.9157247632545392
1,1,1,3,2,18-34,0,.193,.8133972192981418
1,1,1,3,3,18-34,0,.028,.5896571708750283
1,1,2,1,1,18-34,0,.883,.9137482821357985
1,1,2,1,2,18-34,0,.8120000000000001,.8304074621582795
1,1,2,1,3,18-34,0,.378,.649942847374963
1,1,2,2,1,18-34,0,.76,.833765255925411
1,1,2,2,2,18-34,0,.6890000000000001,.7501274202385828
1,1,2,2,3,18-34,0,.255,.5782070878922425
1,1,2,3,1,18-34,0,.228,.7482684607903893
1,1,2,3,2,18-34,0,.157,.6486248865745768
1,1,2,3,3,18-34,0,-.008,.4356881865205357
1,1,3,1,1,18-34,0,.5560000000000001,.9457773195551418
1,1,3,1,2,18-34,0,.485,.8514736580849953
